sent + recording 127.0.0.1:30002 -> results/T09_slow_r1.baseline.csv  (Ctrl-C to stop)

  28 samples     0.3s
  55 samples     0.5s
  82 samples     0.8s
  107 samples     1.0s
  134 samples     1.3s
  161 samples     1.5s
  188 samples     1.8s
  216 samples     2.0s
  243 samples     2.3s
  271 samples     2.5s
  298 samples     2.8s
  325 samples     3.0s
  353 samples     3.3s
  381 samples     3.6s
  408 samples     3.8s
  435 samples     4.1s
  459 samples     4.3s
  486 samples     4.6s
  513 samples     4.8s
  540 samples     5.1s
  567 samples     5.3s
  594 samples     5.6s
  622 samples     5.8s
  650 samples     6.1s
  677 samples     6.3s
  704 samples     6.6s
  731 samples     6.8s
  758 samples     7.1s
  785 samples     7.4s
  812 samples     7.6s
  839 samples     7.9s
  865 samples     8.1s
  892 samples     8.4s
  919 samples     8.6s
  947 samples     8.9s
  974 samples     9.2s
  1002 samples     9.4s
  1029 samples     9.7s
  1056 samples     9.9s
  1083 samples    10.2s
  1110 samples    10.4s
  1137 samples    10.7s
  1165 samples    10.9s
  1192 samples    11.2s
  1219 samples    11.4s
  1243 samples    11.7s
  1270 samples    12.0s
  1298 samples    12.2s
  1326 samples    12.5s
  1353 samples    12.7s
  1381 samples    13.0s
  1408 samples    13.2s
  1435 samples    13.5s
  1462 samples    13.7s
  1489 samples    14.0s
  1517 samples    14.3s
  1544 samples    14.5s
  1571 samples    14.8s
  1599 samples    15.0s
  1627 samples    15.3s
  1653 samples    15.5s
  1680 samples    15.8s
  1708 samples    16.0s
  1735 samples    16.3s
  1763 samples    16.5s
  1791 samples    16.8s
  1819 samples    17.1s
  1846 samples    17.3s
  1873 samples    17.6s
  1900 samples    17.8s
  1927 samples    18.1s
  1955 samples    18.3s
  1983 samples    18.6s
  2010 samples    18.8s
  2034 samples    19.1s
  2062 samples    19.3s
  2089 samples    19.6s
  2117 samples    19.9s
  2144 samples    20.1s
  2170 samples    20.4s
  2197 samples    20.6s
  2225 samples    20.9s
  2252 samples    21.1s
  2280 samples    21.4s
  2308 samples    21.7s
  2335 samples    21.9s
  2363 samples    22.2s
  2390 samples    22.4s
  2418 samples    22.7s
  2444 samples    22.9s
  2470 samples    23.2s
  2498 samples    23.4s
  2526 samples    23.7s
  2554 samples    24.0s
  2582 samples    24.2s
  2608 samples    24.5s
  2636 samples    24.7s
  2664 samples    25.0s
  2691 samples    25.2s
  2718 samples    25.5s
  2745 samples    25.7s
  2772 samples    26.0s
  2800 samples    26.2s
  2824 samples    26.5s
  2851 samples    26.8s
  2879 samples    27.0s
  2906 samples    27.3s
  2933 samples    27.5s
  2961 samples    27.8s
  2988 samples    28.0s
  3016 samples    28.3s
  3043 samples    28.5s
  3071 samples    28.8s
  3097 samples    29.0s
  3124 samples    29.3s
  3151 samples    29.5s
  3178 samples    29.8s
  3203 samples    30.1s
  3230 samples    30.3s
  3258 samples    30.6s
  3285 samples    30.8s
  3312 samples    31.1s
  3339 samples    31.3s
  3366 samples    31.6s
  3393 samples    31.8s
  3421 samples    32.1s
  3448 samples    32.3s
  3476 samples    32.6s
  3503 samples    32.8s
  3530 samples    33.1s
  3557 samples    33.3s
  3582 samples    33.6s
  3609 samples    33.8s
  3636 samples    34.1s
  3663 samples    34.3s
  3690 samples    34.6s
  3716 samples    34.8s
  3743 samples    35.1s
  3771 samples    35.4s
  3798 samples    35.6s
  3825 samples    35.9s
  3852 samples    36.1s
  3879 samples    36.4s
  3906 samples    36.6ssent + recording 127.0.0.1:30002 -> results/T09_slow_r1.ppo.csv  (Ctrl-C to stop)

  28 samples     0.3s
  56 samples     0.5s
  83 samples     0.8s
  110 samples     1.0s
  136 samples     1.3s
  163 samples     1.5s
  190 samples     1.8s
  217 samples     2.0s
  243 samples     2.3s
  271 samples     2.5s
  298 samples     2.8s
  325 samples     3.0s
  352 samples     3.3s
  378 samples     3.5s
  405 samples     3.8s
  433 samples     4.1s
  460 samples     4.3s
  487 samples     4.6s
  515 samples     4.8s
  543 samples     5.1s
  570 samples     5.3s
  597 samples     5.6s
  624 samples     5.8s
  648 samples     6.1s
  676 samples     6.3s
  703 samples     6.6s
  730 samples     6.8s
  757 samples     7.1s
  785 samples     7.4s
  812 samples     7.6s
  840 samples     7.9s
  867 samples     8.1s
  895 samples     8.4s
  923 samples     8.6s
  951 samples     8.9s
  978 samples     9.1s
  1006 samples     9.4s
  1031 samples     9.7s
  1059 samples     9.9s
  1086 samples    10.2s
  1114 samples    10.4s
  1141 samples    10.7s
  1168 samples    10.9s
  1195 samples    11.2s
  1223 samples    11.4s
  1250 samples    11.7s
  1277 samples    11.9s
  1304 samples    12.2s
  1330 samples    12.4s
  1357 samples    12.7s
  1384 samples    12.9s
  1408 samples    13.2s
  1435 samples    13.5s
  1462 samples    13.7s
  1489 samples    14.0s
  1517 samples    14.2s
  1544 samples    14.5s
  1572 samples    14.7s
  1599 samples    15.0s
  1626 samples    15.2s
  1653 samples    15.5ssent + recording 127.0.0.1:30002 -> results/T09_medium_r1.baseline.csv  (Ctrl-C to stop)

  29 samples     0.3s
  56 samples     0.5s
  83 samples     0.8s
  110 samples     1.0s
  137 samples     1.3s
  165 samples     1.5s
  192 samples     1.8s
  220 samples     2.0s
  247 samples     2.3s
  275 samples     2.5s
  302 samples     2.8s
  328 samples     3.1s
  355 samples     3.3s
  382 samples     3.6s
  410 samples     3.8s
  437 samples     4.1s
  465 samples     4.3s
  493 samples     4.6s
  520 samples     4.8s
  548 samples     5.1s
  575 samples     5.4s
  603 samples     5.6s
  630 samples     5.9s
  657 samples     6.1s
  684 samples     6.4s
  710 samples     6.6s
  738 samples     6.9s
  765 samples     7.2s
  792 samples     7.4s
  820 samples     7.7s
  847 samples     7.9s
  875 samples     8.2s
  902 samples     8.4s
  929 samples     8.7s
  956 samples     8.9s
  983 samples     9.2s
  1010 samples     9.4s
  1037 samples     9.7s
  1064 samples     9.9s
  1091 samples    10.2s
  1115 samples    10.4s
  1142 samples    10.7s
  1170 samples    11.0s
  1197 samples    11.2s
  1224 samples    11.5s
  1251 samples    11.7s
  1278 samples    12.0s
